Beat,,,,,
0,1,,0,2,0
,,,,,
,-108,215,0,,0
,,323,,,0
430,2,,,,
,,,,,
,,645,0,,0
,,,,,
860,3,860,0,,0
,,968,,,0
,,,,,
,,,,,
1290,4,1290,0,,0
,,,,,
,,1505,0,,0
,,1613,,,0
1720,5,,,,
,,,,,
,,1935,0,,0
,,,,,
2150,6,2150,0,,0
,,2258,,,0
,,,,,
,,,,,
2580,7,2580,0,,0
,,,,,
,,2795,0,,0
,,2903,,,0
3010,8,,,,
,,,,,
,,3225,0,,0
,,,,,
3440,9,3400,0,,0
,,3508,,,0
,,,,,
,,,,,
3870,10,3870,0,,0
,,,,,
,,4085,,,0
,,4193,,,0
4300,11,,,,
,,,,,
,,4515,,,0
,,,,,
4730,12,4730,,,0
,,4838,,,0
,,,,,
,,,,,
5160,13,5160,,,0
,,,,,
,,5375,,,0
,,5483,,,0
5590,14,,,,
,,,,,
,,5805,,,0
,,,,,
6020,15,6020,,,0
,,6128,,,0
,,6235,,,0
,,6343,,,0
6450,16,6450,,,0
,,6558,,,0
,,6665,,,0
,,6773,,,0
6880,17,6880,,,0
,,,,,
,,7095,,,0
,,7203,,,0
7310,18,,,,
,,,,,
,,7535,,,0
,,,,,
7740,19,7740,,,0
,,7848,,,0
,,,,,
,,,,,
8170,20,8170,,,0
,,,,,
,,8385,,,0
,,8493,,,0
8600,21,,,,
,,,,,
,,8815,,,0
,,,,,
9030,22,9030,,,0
,,9138,,,0
,,,,,
,,,,,
9460,23,9460,,,0
,,,,,
,,9675,,,0
,,9783,,,0
9890,24,,,,
,,,,,
,,10105,,,0
,,,,,
10320,25,10320,,,0
,,10428,,,0
,,,,,
,,,,,
10750,26,10750,,,0
,,,,,
,,10965,,,0
,,11073,,,0
11180,27,,,,
,,,,,
,,11395,,,0
,,,,,
11610,28,11610,,,0
,,11718,,,0
,,,,,
,,,,,
12040,29,12040,,,0
,,,,,
,,12255,,,0
,,12363,,,0
12470,30,,,,
,,,,,
,,12685,,,0
,,,,,
12900,31,12900,,,0
,,13008,,13223,0
,,13115,,6343,0
,,13223,,,0
13330,32,,,,
,,,,,
,,,,,
,,,,,
13760,33,13760,,,
,,13832,,,
,,13904,,,
,,13976,,,
,,14048,,,
,,14120,,,
14190,34,14190,,860,
,,14262,14190,,
,,14334,14262,,
,,14406,14334,,
,,14478,14406,,
,,14550,14478,,
14620,35,14620,14550,,
,,14692,,,
,,14764,,,
,,14836,,,
,,14908,,,
,,14980,,,
15050,36,15050,,,
,,15122,,,
,,15194,,,
,,15266,,,
,,15338,,,
,,15410,,,
15480,37,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
15910,38,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
16340,39,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
16770,40,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17200,41,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17630,42,,,,